Geneid	SRR10416711
100287102	0
653635	89
102466751	6
100302278	0
645520	0
79501	0
729737	160
102725121	5
102723897	109
102465909	0
729759	0
100132287	10
105378947	3
101928626	2
102465432	149
81399	0
100133331	110
100288069	32
400728	6
79854	24
643837	377
284593	0
100130417	0
148398	0
26155	6537
339451	201
84069	226
84808	53
57801	459
9636	1150
375790	19561
105369174	56
105378948	6
401934	16
54991	608
254099	0
406984	1
406983	3
554210	4
254173	11
8784	2
7293	0
51150	5097
126792	658
388581	5
118424	1481
6339	3
116983	1233
102465434	0
126789	449
54973	2476
102465435	0
80772	1125
83756	16
1855	1869
102466740	0
54587	65
54998	2003
81669	2185
148413	344
55052	1879
441869	54
643965	2
102724312	0
64856	634
219293	43
83858	1577
55210	2833
339453	3
29101	3392
643988	854
142678	1208
8510	1
984	1214
728661	592
8511	0
728642	515
9906	430
65220	1424
2782	10548
105378949	1
163688	0
339456	7
85452	0
2563	0
5590	602
100506504	26
199990	469
105378592	5
6497	3824
105378594	8
79906	131
100129534	0
11079	2793
5192	547
9651	310
55229	50
388585	0
115110	0
8764	49
100996583	0
127281	27
79258	2
100287898	1
140625	0
440556	0
63976	0
100422968	0
27237	1784
1953	539
693135	0
127262	1878
49856	476
7161	73
57212	5
148870	1
388588	0
57470	1695
9731	1128
1677	176
339448	931
100133612	1
728716	0
284661	0
55966	0
100616489	0
100616421	1
261734	333
8514	183
26038	1
6146	11958
102724450	3
388591	492
23463	5935
148645	10
390992	0
387509	2334
11332	2037
54626	110
83715	75
100422975	0
8718	263
57449	1123
79707	1887
80835	1
3104	534
9903	3486
148479	585
90326	158
55735	2595
100505887	0
23261	427
9341	3123
8863	590
10911	0
3604	31
11315	3698
54206	1730
102724539	0
50651	0
473	1789
102724552	0
2023	60017
102465436	0
100505975	2
765	0
155184	0
6518	25
80045	343
407040	1
9563	668
80176	787
100506022	3
84275	242
199953	1340
5293	75
644997	0
101929074	1
22883	19492
56998	934
84328	521
64802	342
100847055	0
105376719	0
116362	2
10277	2935
23095	2034
100422970	0
5226	4707
100526739	0
378708	21
1325	2
1676	1916
5195	731
54897	197
148345	0
23435	6392
10747	53
6723	3073
5394	3147
2475	4934
100873935	0
10218	2
29914	1003
57540	0
101929181	11
26232	21
93611	128
26270	67
10459	940
374946	0
57085	673
284498	0
102724659	0
4524	226
1185	333
100379251	1
4878	5
4879	0
26829	0
90231	2105
5351	5916
9927	11139
60672	312
102466982	0
943	366
102465836	0
7133	37
100616438	0
55187	2792
677885	5
9249	2915
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2
7799	1175
23254	218
200197	21
55092	773
727684	2
114827	35
101927417	1
79180	13414
11330	0
63036	0
51032	3
842	348
23341	880
79814	391
84301	381
6248	303
23207	2622
284723	14
388595	0
54751	1245
440567	293
729614	69
23013	6907
7709	575
101928566	0
149563	0
27129	2
1187	0
1188	0
348487	6
1969	6479
128272	415
101927546	0
79363	80
54455	559
26099	6610
374955	0
55707	1109
114819	17
26871	0
100126512	2
100126517	0
102724970	1
100133301	0
7195	0
55672	200
84809	271
11209	15
26869	0
729574	0
100126533	0
284729	1
100189045	0
102723383	0
6060	0
11223	1
100500876	0
100189298	0
7193	0
791226	0
9696	322
26870	0
4237	10
23400	2363
6390	3220
11240	2
29943	122
51702	8261
100616188	38
23569	3
353238	0
55920	10811
55160	147
81569	4
101927876	0
84966	0
127707	3
5081	829
80834	0
8659	560
100616120	0
100302276	0
126917	2392
23352	9240
23065	5930
51154	3218
246181	3
22977	12
100506730	33
8574	907
54896	494
832	6097
100532736	0
440574	665
644068	14
4681	2
3362	1
255104	715
54546	0
23252	370
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	269
79594	1345
163933	0
978	433
65018	290
102464833	0
100861548	219
1650	9299
57576	3
400745	274
50809	5608
8672	3613
100302155	0
1889	11041
100506801	0
84224	633
249	1
5909	108
84196	1838
401944	6
3339	7416
23436	0
10136	0
101928043	3
29092	77
998	9620
54361	50
100616433	0
9923	1170
2046	2
102466615	0
712	0
714	0
713	0
2048	1279
100616391	0
100422914	0
646262	0
729059	0
23028	4572
100422866	0
100616177	0
7798	4999
3352	9
100996511	48
10236	10139
80818	924
148898	36
6920	26
55616	18
1870	555
101928163	0
3399	60
259283	0
6135	20387
6924	3706
100506963	10
57095	1601
11313	2207
2582	1931
3155	434
2517	1261
1269	0
100616492	0
55629	2113
10772	3862
127294	1
58985	110
163702	107
284632	2
57822	84
90529	321
57185	1979
100750325	0
11123	202
100506985	18
400746	2
10250	4711
25932	1082
864	2
102465437	0
100616365	0
25949	1021
57035	799
6007	4
23585	782
6006	2
55219	860
26119	2310
57134	5
57190	2615
56181	210
646471	26
79000	578
164091	659
3925	3828
100500808	0
5051	339
2134	0
7780	1
105376910	0
84676	0
149420	279
79927	6
105376887	0
51042	720
10256	584
378807	0
101928303	0
64793	1614
83442	13521
91544	444
1043	2
55057	497
257101	0
79727	0
79947	1315
101928324	3
3151	10313
6195	2695
100302190	0
101928728	77
8289	5160
55650	238
84243	723
2810	16702
54707	745
63906	376
10726	6273
8431	1
126695	465
388610	63
115572	40
6548	5070
23038	657
84065	988
644961	36
100887744	0
84958	26
9064	981
8547	2
388611	3
2827	56
10163	9572
27245	1498
2268	0
2537	830
199870	152
23673	868
5511	1838
677774	0
9473	10
6118	2942
27293	10
55113	124
2140	1780
5724	1468
22826	3669
93974	2225
83667	234
54797	276
65979	1992
1104	5383
8420	1151
6080	24
26768	16
54952	248
85028	429
692212	19
677838	193
677825	19
692073	20
115273	2
6883	900
26824	0
10691	442
105376911	0
51441	2607
4985	0
2035	895
399474	20
